Latitude,Longitude
-80.11763124518988,26.367908427984915
-80.11314975794389,26.36723922000168
-80.10512042662853,26.36640270457383
-80.0978380098534,26.363391198909156
-80.08831484945559,26.36054692708096
-80.07860496042281,26.36188541665804
-80.06852161411912,26.359543049729666
-80.07076235774241,26.337455543316196
-80.0728163727297,26.329924747839513
-80.11763124518988,26.328251171203704
-80.12902169194061,26.328585888466463
-80.12958187784595,26.349671124908156
-80.11763124518988,26.367908427984915
