location,displayName
"{'latitude': 25.805819600000003, 'longitude': -80.3340616}","{'text': 'The Manor at CityPlace', 'languageCode': 'en'}"
"{'latitude': 25.7798315, 'longitude': -80.3408963}","{'text': 'Birchwoods Apartments', 'languageCode': 'en'}"
"{'latitude': 25.798577299999998, 'longitude': -80.334093}","{'text': 'Mirador at Doral by Windsor Apartments', 'languageCode': 'en'}"
"{'latitude': 25.8436693, 'longitude': -80.36772549999999}","{'text': 'Vesada Apartments', 'languageCode': 'en'}"
"{'latitude': 25.8407037, 'longitude': -80.370404}","{'text': 'Century Town Center Apartments', 'languageCode': 'en'}"
"{'latitude': 25.8499496, 'longitude': -80.3630323}","{'text': 'Palmera Apartments', 'languageCode': 'en'}"
"{'latitude': 25.8499496, 'longitude': -80.3630323}","{'text': 'Palmera Apartments', 'languageCode': 'en'}"
"{'latitude': 25.8436693, 'longitude': -80.36772549999999}","{'text': 'Vesada Apartments', 'languageCode': 'en'}"
"{'latitude': 25.8199133, 'longitude': -80.3722873}","{'text': 'Doral Terrace Apartments', 'languageCode': 'en'}"
"{'latitude': 25.828495399999998, 'longitude': -80.3684178}","{'text': 'The Landmark South', 'languageCode': 'en'}"
"{'latitude': 25.8407037, 'longitude': -80.370404}","{'text': 'Century Town Center Apartments', 'languageCode': 'en'}"
"{'latitude': 25.872324, 'longitude': -80.3341921}","{'text': 'Legacy at Hialeah', 'languageCode': 'en'}"
"{'latitude': 25.8224284, 'longitude': -80.3822417}","{'text': 'Doral West Apartment Homes', 'languageCode': 'en'}"
"{'latitude': 25.8139039, 'longitude': -80.3367016}","{'text': 'Windsor at Doral', 'languageCode': 'en'}"
"{'latitude': 25.8676495, 'longitude': -80.30962889999999}","{'text': 'Westland 49 Apartments', 'languageCode': 'en'}"
"{'latitude': 25.8210895, 'longitude': -80.32854429999999}","{'text': 'Cordoba', 'languageCode': 'en'}"
"{'latitude': 25.8128948, 'longitude': -80.36991019999999}","{'text': 'The Point at Doral', 'languageCode': 'en'}"
"{'latitude': 25.8658717, 'longitude': -80.3217231}","{'text': 'Alture Westland', 'languageCode': 'en'}"
"{'latitude': 25.8493073, 'longitude': -80.3628378}","{'text': 'Palmera Apartments South', 'languageCode': 'es'}"
"{'latitude': 25.805819600000003, 'longitude': -80.3340616}","{'text': 'The Manor at CityPlace', 'languageCode': 'en'}"
"{'latitude': 25.798577299999998, 'longitude': -80.334093}","{'text': 'Mirador at Doral by Windsor Apartments', 'languageCode': 'en'}"
"{'latitude': 25.808249, 'longitude': -80.3308448}","{'text': 'The Flats', 'languageCode': 'en'}"
"{'latitude': 25.8883181, 'longitude': -80.306647}","{'text': 'Lake House Apartments', 'languageCode': 'en'}"
"{'latitude': 25.8095777, 'longitude': -80.3407817}","{'text': 'AMLI 8800', 'languageCode': 'en'}"
"{'latitude': 25.8147023, 'longitude': -80.3592529}","{'text': 'Valencia at Doral', 'languageCode': 'en'}"
"{'latitude': 25.849140799999997, 'longitude': -80.3141288}","{'text': 'Pura Vida Hialeah', 'languageCode': 'en'}"
"{'latitude': 25.872324, 'longitude': -80.3341921}","{'text': 'Legacy at Hialeah', 'languageCode': 'en'}"
"{'latitude': 25.8658717, 'longitude': -80.3217231}","{'text': 'Alture Westland', 'languageCode': 'en'}"
"{'latitude': 25.871541999999998, 'longitude': -80.3209691}","{'text': 'Legacy Meadowgreen', 'languageCode': 'en'}"
"{'latitude': 25.8807102, 'longitude': -80.3313289}","{'text': 'Legacy Amanda Palms', 'languageCode': 'en'}"
"{'latitude': 25.8663924, 'longitude': -80.3376119}","{'text': 'La Riviera Apartments', 'languageCode': 'en'}"
"{'latitude': 25.8676495, 'longitude': -80.30962889999999}","{'text': 'Westland 49 Apartments', 'languageCode': 'en'}"
"{'latitude': 25.8858091, 'longitude': -80.3145699}","{'text': 'Aciano Hialeah', 'languageCode': 'en'}"
"{'latitude': 25.8807102, 'longitude': -80.3313289}","{'text': 'Hialeah Apartments', 'languageCode': 'en'}"
"{'latitude': 25.8671768, 'longitude': -80.3287857}","{'text': 'Samari Towers', 'languageCode': 'en'}"
"{'latitude': 25.8883181, 'longitude': -80.306647}","{'text': 'Lake House Apartments', 'languageCode': 'en'}"
"{'latitude': 25.8771551, 'longitude': -80.3482404}","{'text': 'Legacy Coral Palms', 'languageCode': 'en'}"
"{'latitude': 25.866377099999998, 'longitude': -80.33667439999999}","{'text': 'Southwest Properties II Inc', 'languageCode': 'en'}"
"{'latitude': 25.8791896, 'longitude': -80.32790229999999}","{'text': 'Gabriella Apartments', 'languageCode': 'en'}"
"{'latitude': 25.881804799999998, 'longitude': -80.3507693}","{'text': 'Legacy Villa Vicenza', 'languageCode': 'en'}"
"{'latitude': 25.872620899999998, 'longitude': -80.3379454}","{'text': 'Apartment', 'languageCode': 'en'}"
"{'latitude': 25.8662149, 'longitude': -80.2999306}","{'text': 'Les Monttellier Apartments', 'languageCode': 'en'}"
"{'latitude': 25.9135061, 'longitude': -80.3132479}","{'text': 'Bull Run Apartments', 'languageCode': 'en'}"
"{'latitude': 25.8749191, 'longitude': -80.3337102}","{'text': 'Magy', 'languageCode': 'en'}"
"{'latitude': 25.849140799999997, 'longitude': -80.3141288}","{'text': 'Pura Vida Hialeah', 'languageCode': 'en'}"
"{'latitude': 25.8499496, 'longitude': -80.3630323}","{'text': 'Palmera Apartments', 'languageCode': 'en'}"
"{'latitude': 25.8883181, 'longitude': -80.306647}","{'text': 'Lake House Apartments', 'languageCode': 'en'}"
"{'latitude': 25.8858091, 'longitude': -80.3145699}","{'text': 'Aciano Hialeah', 'languageCode': 'en'}"
"{'latitude': 25.9095187, 'longitude': -80.3100596}","{'text': 'New Barn Apartments', 'languageCode': 'en'}"
"{'latitude': 25.9135061, 'longitude': -80.3132479}","{'text': 'Bull Run Apartments', 'languageCode': 'en'}"
"{'latitude': 25.9125406, 'longitude': -80.3074185}","{'text': '6600 Main', 'languageCode': 'en'}"
"{'latitude': 25.915989399999997, 'longitude': -80.3107402}","{'text': 'Meadow Walk Apartments', 'languageCode': 'en'}"
"{'latitude': 25.9125939, 'longitude': -80.3207884}","{'text': 'Executive Apartments', 'languageCode': 'en'}"
"{'latitude': 25.8888793, 'longitude': -80.2917781}","{'text': 'Manor Hialeah - Luxury Apartments', 'languageCode': 'en'}"
"{'latitude': 25.9134179, 'longitude': -80.3132475}","{'text': 'Fountain House Apartments', 'languageCode': 'en'}"
"{'latitude': 25.8807102, 'longitude': -80.3313289}","{'text': 'Legacy Amanda Palms', 'languageCode': 'en'}"
