location,displayName
"{'latitude': 25.766887999999998, 'longitude': -80.192121}","{'text': 'Eighth Street Station', 'languageCode': 'en'}"
"{'latitude': 25.855463, 'longitude': -80.30664399999999}","{'text': 'W 12 Av & W 37 St', 'languageCode': 'en'}"
"{'latitude': 25.839814999999998, 'longitude': -80.30152559999999}","{'text': 'Okeechobee', 'languageCode': 'en'}"
"{'latitude': 25.8433705, 'longitude': -80.32458}","{'text': 'Palmetto Metrorail Station', 'languageCode': 'en'}"
"{'latitude': 25.841279999999998, 'longitude': -80.279052}","{'text': 'Hialeah Sta @ 115 E 21 ST', 'languageCode': 'en'}"
"{'latitude': 25.6920786, 'longitude': -80.30490309999999}","{'text': 'Dadeland North', 'languageCode': 'en'}"
"{'latitude': 25.8111516, 'longitude': -80.2588193}","{'text': 'Hialeah Market Tri-Rail Station', 'languageCode': 'en'}"
"{'latitude': 25.840837, 'longitude': -80.354996}","{'text': 'NW 74th St & NW 97th Av', 'languageCode': 'en'}"
"{'latitude': 25.843367399999998, 'longitude': -80.323792}","{'text': 'Palmetto Station Rail Southbound', 'languageCode': 'en'}"
"{'latitude': 25.843556, 'longitude': -80.323774}","{'text': 'Palmetto Metrorail Station', 'languageCode': 'en'}"
"{'latitude': 25.839838, 'longitude': -80.301051}","{'text': 'Okeechobee Metrorail Station', 'languageCode': 'en'}"
"{'latitude': 25.795153, 'longitude': -80.27705399999999}","{'text': 'MIA & Lower Level Ramp', 'languageCode': 'en'}"
"{'latitude': 25.855463, 'longitude': -80.30664399999999}","{'text': 'W 12 Av & W 37 St', 'languageCode': 'en'}"
"{'latitude': 25.8411641, 'longitude': -80.2790517}","{'text': 'Hialeah', 'languageCode': 'en'}"
"{'latitude': 25.8323951, 'longitude': -80.24115019999999}","{'text': 'Dr. Martin Luther King Jr', 'languageCode': 'en'}"
"{'latitude': 25.839814999999998, 'longitude': -80.30152559999999}","{'text': 'Okeechobee', 'languageCode': 'en'}"
"{'latitude': 25.8124526, 'longitude': -80.2300576}","{'text': 'Earlington Heights', 'languageCode': 'en'}"
"{'latitude': 25.809583999999997, 'longitude': -80.32539299999999}","{'text': 'NW 79 Av & NW 36 St', 'languageCode': 'en'}"
"{'latitude': 25.841279999999998, 'longitude': -80.279052}","{'text': 'Hialeah Sta @ 115 E 21 ST', 'languageCode': 'en'}"
"{'latitude': 25.775864, 'longitude': -80.19609299999999}","{'text': 'Government Center Station', 'languageCode': 'en'}"
"{'latitude': 25.773094399999998, 'longitude': -80.1872841}","{'text': 'Bayfront Park Station', 'languageCode': 'en'}"
"{'latitude': 25.766887999999998, 'longitude': -80.192121}","{'text': 'Eighth Street Station', 'languageCode': 'en'}"
"{'latitude': 25.7148675, 'longitude': -80.2770295}","{'text': 'University Station', 'languageCode': 'en'}"
"{'latitude': 25.835766699999997, 'longitude': -80.31089990000001}","{'text': 'Miami Dade Metro Rail Yard', 'languageCode': 'en'}"
"{'latitude': 25.9086, 'longitude': -80.308149}","{'text': 'NW 67 Av@Miami Lakes Dr', 'languageCode': 'en'}"
"{'latitude': 25.900050000000004, 'longitude': -80.25294099999999}","{'text': 'Opa-Locka Tri-Rail Station', 'languageCode': 'en'}"
"{'latitude': 25.8111516, 'longitude': -80.2588193}","{'text': 'Hialeah Market Tri-Rail Station', 'languageCode': 'en'}"
"{'latitude': 25.843367399999998, 'longitude': -80.323792}","{'text': 'Palmetto Station Rail Southbound', 'languageCode': 'en'}"
"{'latitude': 25.855463, 'longitude': -80.30664399999999}","{'text': 'W 12 Av & W 37 St', 'languageCode': 'en'}"
"{'latitude': 25.843556, 'longitude': -80.323774}","{'text': 'Palmetto Metrorail Station', 'languageCode': 'en'}"
"{'latitude': 25.839838, 'longitude': -80.301051}","{'text': 'Okeechobee Metrorail Station', 'languageCode': 'en'}"
"{'latitude': 25.8411641, 'longitude': -80.2790517}","{'text': 'Hialeah', 'languageCode': 'en'}"
"{'latitude': 25.9086, 'longitude': -80.308149}","{'text': 'NW 67 Av@Miami Lakes Dr', 'languageCode': 'en'}"
"{'latitude': 25.8323951, 'longitude': -80.24115019999999}","{'text': 'Dr. Martin Luther King Jr', 'languageCode': 'en'}"
"{'latitude': 25.795153, 'longitude': -80.27705399999999}","{'text': 'MIA & Lower Level Ramp', 'languageCode': 'en'}"
"{'latitude': 25.839814999999998, 'longitude': -80.30152559999999}","{'text': 'Okeechobee', 'languageCode': 'en'}"
"{'latitude': 25.8433705, 'longitude': -80.32458}","{'text': 'Palmetto Metrorail Station', 'languageCode': 'en'}"
"{'latitude': 25.841279999999998, 'longitude': -80.279052}","{'text': 'Hialeah Sta @ 115 E 21 ST', 'languageCode': 'en'}"
"{'latitude': 25.8124526, 'longitude': -80.2300576}","{'text': 'Earlington Heights', 'languageCode': 'en'}"
"{'latitude': 25.900050000000004, 'longitude': -80.25294099999999}","{'text': 'Opa-Locka Tri-Rail Station', 'languageCode': 'en'}"
"{'latitude': 25.775864, 'longitude': -80.19609299999999}","{'text': 'Government Center Station', 'languageCode': 'en'}"
"{'latitude': 25.773094399999998, 'longitude': -80.1872841}","{'text': 'Bayfront Park Station', 'languageCode': 'en'}"
"{'latitude': 25.766887999999998, 'longitude': -80.192121}","{'text': 'Eighth Street Station', 'languageCode': 'en'}"
"{'latitude': 25.8455533, 'longitude': -80.2488182}","{'text': 'Northside', 'languageCode': 'en'}"
"{'latitude': 25.842884, 'longitude': -80.306072}","{'text': 'W 12 Av & W 23 St', 'languageCode': 'en'}"
"{'latitude': 25.835766699999997, 'longitude': -80.31089990000001}","{'text': 'Miami Dade Metro Rail Yard', 'languageCode': 'en'}"
"{'latitude': 25.7148675, 'longitude': -80.2770295}","{'text': 'University Station', 'languageCode': 'en'}"
"{'latitude': 25.9086, 'longitude': -80.308149}","{'text': 'NW 67 Av@Miami Lakes Dr', 'languageCode': 'en'}"
"{'latitude': 25.900050000000004, 'longitude': -80.25294099999999}","{'text': 'Opa-Locka Tri-Rail Station', 'languageCode': 'en'}"
"{'latitude': 25.908904, 'longitude': -80.32954099999999}","{'text': 'Oak LA & NW 79 Ct', 'languageCode': 'en'}"
"{'latitude': 25.843367399999998, 'longitude': -80.323792}","{'text': 'Palmetto Station Rail Southbound', 'languageCode': 'en'}"
"{'latitude': 25.92223, 'longitude': -80.309394}","{'text': 'NW 67 Av & Loch Ness', 'languageCode': 'en'}"
"{'latitude': 25.8411641, 'longitude': -80.2790517}","{'text': 'Hialeah', 'languageCode': 'en'}"
